roll,name,maths,physics,chemistry,english,computers
1,Aarav,92,88,95,90,96
2,Bhavna,78,82,75,80,85
3,Chaitanya,65,70,58,72,68
4,Divya,45,52,38,60,55
5,Eshan,88,91,85,79,93
6,Farhan,55,48,62,51,58
7,Gayatri,96,94,98,92,90
8,Harsha,72,68,75,70,66
9,Ishita,38,42,45,40,39
10,Jatin,82,78,88,75,80
11,Kavya,12,20,8,15,25
12,Lakshmi,60,65,55,68,62
13,Manoj,90,85,92,88,94
14,Nithya,48,55,50,45,52
15,Omkar,75,80,72,78,74
16,Pallavi,68,62,70,65,60
17,Rahul,35,55,60,58,62
18,Sneha,98,96,99,95,97
19,Tarun,58,60,52,55,57
20,Usha,85,88,82,90,86
