roll,name,python,maths,statistics
101,Anil,65,51,82
102,Bhavya,95,43,36
103,Charan,95,68,64
104,Deepa,59,95,95
105,Eshwar,85,54,64
106,Fatima,54,84,36
107,Ganesh,43,55,40
108,Harini,73,38,69
109,Imran,95,84,89
110,Jyothi,85,91,52
111,Karthik,81,47,39
112,Latha,52,98,62
113,Mohan,68,90,73
114,Nandini,88,99,84
115,Om,79,87,64
116,Priya,78,38,70
117,Rakesh,55,76,48
118,Sita,62,69,71
119,Tarun,50,43,96
120,Uma,96,46,79
121,Varun,43,87,54
122,Yamini,37,72,89
123,Zoya,88,50,40
124,Arjun,40,83,77
125,Bina,70,99,65
